Experiment,SubID,Age,Gender,CountFirst,CountSecond,DogFirst,FirstCounter,SecondCounter,c_1,c_2,c_3,n_1,n_2,n_3,c_1_1,c_1_2,c_2_1,c_2_2,c_3_1,c_3_2,n_1_1,n_1_2,n_2_1,n_2_2,n_3_1,n_3_2
3,12,1.600547196,m,n,c,d,6,4,11.7,11.45,10.8,7.7,7.4,9.4,11.7,10.1,12.8,10.1,11.5,9.4,6,7.4,9.4,NA,NA,NA
3,13,1.60875513,m,n,c,d,4,6,4.2,4.45,1.25,6.6,3.9,1.45,6,2.4,6.3,2.6,0,2.5,6.5,6.7,2.5,5.3,1.4,1.5
3,14,1.573187415,m,c,n,d,4,6,4.65,6.3,3.8,8.45,3.55,5.6,7.3,2,10.7,1.9,7.6,0,8.2,8.7,3.3,3.8,5.8,5.4
3,15,1.493844049,f,n,c,d,4,4,1.65,1.6,1.25,1.7,2,2.3,2,1.3,1.7,1.5,1.3,1.2,1.7,1.7,1.8,2.2,3,1.6
3,16,1.548563611,m,c,n,c,4,4,4.95,4.4,3.35,1.65,1.7,0.7,8,1.9,6.5,2.3,4.1,2.6,3.3,0,3.4,0,1.4,0
4,1,1.169863014,m,n,c,d,6,6,1.75,2.15,0,2.65,2.05,1.95,2.8,0.7,1.7,2.6,0,0,4,1.3,1.3,2.8,3.9,0
4,2,1.156164384,m,c,n,c,6,4,1.2,1.9,2.15,1.45,0,2.2,0.5,1.9,3.8,0,0.8,3.5,0,2.9,0,0,0,4.4
4,3,1.150684932,m,n,c,d,4,6,5.45,5.45,2.7,4.15,3.25,3.7,5.5,5.4,2.7,8.2,1.8,3.6,5.9,2.4,3.3,3.2,4.3,3.1
4,4,1.131506849,f,c,n,d,4,6,3.65,4.9,2.3,3.3,1.5,1.85,4,3.3,5.1,4.7,3.4,1.2,0,6.6,3,0,1.5,2.2
4,5,1.145205479,f,n,c,c,6,4,2.1,3.25,2.6,1.6,1.25,1.05,0.8,3.4,5.5,1,2.3,2.9,2.2,1,1.6,0.9,1.1,1
4,6,1.189041096,m,c,n,d,4,4,2.55,6.25,2.6,6.3,5.7,7.25,1.9,3.2,10.7,1.8,3.5,1.7,2.4,10.2,7.6,3.8,8.5,6
4,7,1.123287671,m,n,c,c,4,4,2.75,3.15,0.55,3.3,5.25,3.05,1.8,3.7,2.3,4,1.1,0,5.2,1.4,5.1,5.4,4.2,1.9
4,8,1.183561644,f,c,n,c,4,6,6.6,2.4,1.6,1.35,2.05,2.7,6.6,NA,2.4,NA,1.6,NA,1.4,1.3,2.9,1.2,1.7,3.7
4,9,1.150684932,f,n,c,d,6,4,2.35,0.55,3.05,1.8,2.2,1.65,2.9,1.8,0.7,0.4,1.4,4.7,3,0.6,2.6,1.8,2.4,0.9
4,10,1.169863014,m,c,n,c,4,4,3.05,6.3,4.75,5.5,4.2,4.85,2.9,3.2,7.7,4.9,2.7,6.8,3.5,7.5,7.2,1.2,1.7,8
4,11,1.169863014,m,n,c,d,4,4,4.55,6.05,3.65,5.8,3.6,2.4,7.5,1.6,8.3,3.8,4.4,2.9,4.8,6.8,2.7,4.5,2.1,2.7
4,12,1.17373461,m,c,n,d,6,6,0.25,2.95,0.45,0.85,0.7,0,0.5,0,2.3,3.6,0,0.9,0,1.7,0,1.4,0,0
4,13,1.161643836,f,n,c,c,6,6,1.4,1.9,0.55,2.5,1.55,1.55,0.8,2,2.1,1.7,1.1,0,2.3,2.7,1.7,1.4,1.7,1.4
4,14,1.126027397,m,c,n,d,6,4,2.1,1.25,1.3,4.75,2.25,0.4,3.6,0.6,0,2.5,0.9,1.7,7.9,1.6,4.5,0,0,0
4,15,1.164383562,f,n,c,c,4,6,2.05,3.2,2.85,7.5,7.3,6.2,2.7,1.4,4.5,1.9,3.9,1.8,8.3,6.7,3.9,10.7,7,5.4
4,16,1.202739726,f,c,n,c,6,6,2.1,7.65,4.95,4.8,4.6,6.65,2.2,2,4.7,10.6,3.9,6,5.3,4.3,4.3,4.9,7.5,5.8
5,1,1.543091655,m,d,c,d,6,6,4.4,1.55,0.6,2.8,1.25,1.85,5.5,3.3,0.7,2.4,0.6,0.6,3.8,1.8,1.9,0.6,0.8,2.9
5,2,1.649794802,f,d,c,d,6,6,1.3,1.35,1.75,2.15,1.4,1.8,2.6,0,2.7,0,3.5,0,1.3,3,2.8,0,0,2.7
5,3,1.649794802,m,c,d,c,6,4,0,3.75,3.95,3.45,2.9,2.25,0,0,0,7.5,7.9,0,3.2,3.7,3.3,2.5,2.1,2.4
5,4,1.603283174,f,d,c,d,4,6,0.55,1.7,1.75,0,0,0,1.1,0,3.4,0,3.5,0,0,0,0,0,0,0
5,5,1.570451436,f,d,c,d,4,6,1.3,0.4,0,1.25,0.9,0.6,2.6,0,0,0.8,0,0,1.1,1.4,0,1.8,1.2,0
5,6,1.616963064,m,c,d,c,6,4,1.25,2.2,1.65,0.9,0.75,0.95,2.5,0,3.3,3.3,0,3.3,0,1.8,0,0.7,0.8,0.8
5,7,1.526675787,f,d,c,d,4,4,0.75,2.25,0.35,1.1,1.65,0.85,0.9,0.6,2.6,1.9,0.7,0,1.3,0.9,1.3,2,1,0.7
5,8,1.539726027,f,c,d,c,4,6,0.6,1.95,0.9,1.55,2.35,0.65,1.2,0,0.7,3.2,1.8,0,1.7,1.4,1.7,3,1.3,0
5,9,1.520547945,m,d,c,d,6,4,1.15,1.95,1.1,2.05,2.8,3.7,2.3,0,2.2,1.7,0.5,1.7,2.6,1.5,3.7,1.9,6.5,0.9
5,10,1.591780822,m,c,d,c,4,4,2.65,7.15,1.15,1,0.95,0,4.1,1.2,7.8,6.5,1.2,1.1,0,2,1.9,0,0,0
5,11,1.509589041,m,d,c,d,4,4,5.05,8.9,2.65,5.8,7.65,1.95,7.1,3,10.1,7.7,2,3.3,8.3,3.3,9.2,6.1,1.4,2.5
5,12,1.471232877,f,c,d,c,6,6,0,1.4,2.15,0,1.2,0,0,0,0,2.8,0,4.3,0,0,2.4,0,0,0
5,13,1.512328767,m,d,c,d,6,6,1.15,2,1.3,3.35,2.9,3,1.3,1,4,0,1.6,1,4.9,1.8,5.8,0,3.8,2.2
5,14,1.512995896,m,d,c,d,6,4,0,0,1.366666667,2.2,1.2,1.2,0,0,0,0,0,4.1,2.3,2.1,2.4,0,1.2,NA
5,15,1.532147743,m,c,d,c,6,6,0,0.8,1.4,0,0,0,0,0,1.6,0,2.8,0,0,0,0,0,0,0
5,16,1.488372093,m,d,c,d,6,6,0,2.35,0.45,1.65,2.1,1.9,0,0,2,2.7,0.9,0,0,2.3,1,4.2,0,2.3
